Customer ID,Parent Product,Claim Date,Documentation Date,Status,Claim Category,Claim Tracking Number,Vendor ID,Storage Fee,Insurance Amount,Holding Fee,Total Acquisition Cost
J12548679,TREE_48075,,,INCOMPLETE,,,,172,5156,0,43636
J12548684,TREE_48075,,,INCOMPLETE,,,,60,568,0,16080
J12548691,TREE_48075,,,INCOMPLETE,,,,16,972,0,16440
J12548699,TREE_48075,,,INCOMPLETE,,,,60,1520,0,16516
J12548700,TREE_48075,,,INCOMPLETE,,,,100,676,0,74080
J12548703,TREE_48075,,,INCOMPLETE,,,,20,892,0,91800
J12548715,TREE_48075,,,INCOMPLETE,,,,84,1084,0,26960
J12548724,TREE_48075,,,INCOMPLETE,,,,100,184,0,10392
J12548733,TREE_48075,,,INCOMPLETE,,,,120,268,0,93840
J12548735,TREE_48075,,,INCOMPLETE,,,,28,432,0,11464
J12548738,TREE_48075,,,INCOMPLETE,,,,136,1212,0,63560
J12548753,TREE_48075,,,INCOMPLETE,,,,88,452,0,17960
J12548767,TREE_48075,,,INCOMPLETE,,,,48,924,0,86400
J12548788,TREE_48075,,,INCOMPLETE,,,,116,48,0,53320
J12548790,TREE_48075,,,INCOMPLETE,,,,36,904,0,45240
J12548802,TREE_48075,,,INCOMPLETE,,,,60,300,0,9200
J12548809,TREE_48075,,,INCOMPLETE,,,,76,1464,0,48800
J12548812,TREE_48075,,,INCOMPLETE,,,,24,428,0,34880
J12548819,TREE_48075,,,INCOMPLETE,,,,52,0,0,33120
J12548863,TREE_48075,,,INCOMPLETE,,,,72,1120,0,63080
J12548866,TREE_48075,,,INCOMPLETE,,,,112,84,0,11548
J12548874,TREE_48075,,,INCOMPLETE,,,,56,800,0,11684
J12548877,TREE_48075,,,INCOMPLETE,,,,88,220,0,10528
J12548878,TREE_48075,,,INCOMPLETE,,,,48,820,0,10600
J12548880,TREE_48075,,,INCOMPLETE,,,,40,104,0,75840
J12548887,TREE_48075,,,INCOMPLETE,,,,8,452,0,52280
J12548894,TREE_48075,,,INCOMPLETE,,,,72,1020,0,22080
J12548916,TREE_48075,,,INCOMPLETE,,,,12,672,0,11980
J12548919,TREE_48075,,,INCOMPLETE,,,,72,552,0,70120
J12548927,TREE_48075,,,INCOMPLETE,,,,136,368,0,87040
J12548931,TREE_48075,,,INCOMPLETE,,,,120,1268,0,27640
J12548933,TREE_48075,,,INCOMPLETE,,,,8,460,0,13572
J12548949,TREE_48075,,,INCOMPLETE,,,,36,568,0,21120
J12548976,TREE_48075,,,INCOMPLETE,,,,44,1540,0,12800
J12548981,TREE_48075,,,INCOMPLETE,,,,64,1096,0,45360
J12548993,TREE_48075,,,INCOMPLETE,,,,128,1332,0,22800
J12549006,TREE_48075,,,INCOMPLETE,,,,56,892,0,64640
J12549008,TREE_48075,,,INCOMPLETE,,,,136,888,0,12344
J12549015,TREE_48075,,,INCOMPLETE,,,,32,216,0,15284
J12549020,TREE_48075,,,INCOMPLETE,,,,0,1508,0,55880
J12549021,TREE_48075,,,INCOMPLETE,,,,16,1176,0,13892
J12549048,TREE_48075,,,INCOMPLETE,,,,12,700,0,17200
J12549080,TREE_48075,,,INCOMPLETE,,,,112,228,0,59960
J12549088,TREE_48075,,,INCOMPLETE,,,,44,4,0,10452
J12549093,TREE_48075,,,INCOMPLETE,,,,40,1436,0,14780
J12549107,TREE_48075,,,INCOMPLETE,,,,116,316,0,29520
J12549115,TREE_48075,,,INCOMPLETE,,,,8,1016,0,68040
J12549120,TREE_48075,,,INCOMPLETE,,,,84,1276,0,15336
J12549127,TREE_48075,,,INCOMPLETE,,,,96,468,0,12616
J12549149,TREE_48075,,,INCOMPLETE,,,,132,972,0,70240
J12549172,TREE_48075,,,INCOMPLETE,,,,20,396,0,14856
J12549173,TREE_48075,,,INCOMPLETE,,,,4,940,0,21280
J12549174,TREE_48075,,,INCOMPLETE,,,,56,600,0,95760
J12549196,TREE_48075,,,INCOMPLETE,,,,48,500,0,78960
J12549203,TREE_48075,,,INCOMPLETE,,,,80,624,0,14172
J12549211,TREE_48075,,,INCOMPLETE,,,,128,1124,0,19280
J12549226,TREE_48075,,,INCOMPLETE,,,,120,700,0,96120
J12549229,TREE_48075,,,INCOMPLETE,,,,4,1240,0,64880
J12549243,TREE_48075,,,INCOMPLETE,,,,80,1372,0,17600
J12549249,TREE_48075,,,INCOMPLETE,,,,116,500,0,77600
J12549255,TREE_48075,,,INCOMPLETE,,,,96,864,0,98680
J12549261,TREE_48075,,,INCOMPLETE,,,,116,632,0,72680
J12549264,TREE_48075,,,INCOMPLETE,,,,152,284,0,49640
J12549266,TREE_48075,,,INCOMPLETE,,,,52,1372,0,17632
J12549294,TREE_48075,,,INCOMPLETE,,,,80,1432,0,92520
J12549307,TREE_48075,,,INCOMPLETE,,,,4,632,0,16988
J12549309,TREE_48075,,,INCOMPLETE,,,,48,964,0,13332
J12549319,TREE_48075,,,INCOMPLETE,,,,80,876,0,93320
J12549328,TREE_48075,,,INCOMPLETE,,,,88,904,0,11216
J12549331,TREE_48075,,,INCOMPLETE,,,,80,428,0,12664
J12549352,TREE_48075,,,INCOMPLETE,,,,124,528,0,78320
J12549368,TREE_48075,,,INCOMPLETE,,,,84,104,0,96280
J12549418,TREE_48075,,,INCOMPLETE,,,,20,896,0,50680
J12549419,TREE_48075,,,INCOMPLETE,,,,108,1156,0,61600
J12549422,TREE_48075,,,INCOMPLETE,,,,56,1420,0,24560
J12549425,TREE_48075,,,INCOMPLETE,,,,112,5412,0,55076
J12549437,TREE_48075,,,INCOMPLETE,,,,128,208,0,65120
J12549448,TREE_48075,,,INCOMPLETE,,,,12,740,0,14572
J12549455,TREE_48075,,,INCOMPLETE,,,,88,4,0,81520
J12549462,TREE_48075,,,INCOMPLETE,,,,96,1068,0,15628
J12549477,TREE_48075,,,INCOMPLETE,,,,20,1244,0,35600
J12549487,TREE_48075,,,INCOMPLETE,,,,76,736,0,29720
J12549510,TREE_48075,,,INCOMPLETE,,,,104,1420,0,10032
J12549512,TREE_48075,,,INCOMPLETE,,,,76,704,0,13432
J12549514,TREE_48075,,,INCOMPLETE,,,,40,584,0,14220
J12549518,TREE_48075,,,INCOMPLETE,,,,60,548,0,45200
