Customer ID,Parent Product,Claim Date,Documentation Date,Status,Claim Category,Claim Tracking Number,Vendor ID,Storage Fee,Insurance Amount,Holding Fee,Total Acquisition Cost
J12548680,TREE_48075,2005-07-20,2005-07-20,COMPLETE,S-CAN,25028762,146268,100,488,0,12252
J12548681,TREE_48075,2005-06-06,2005-06-08,COMPLETE,S-CAN,25031078,149296,128,888,0,98800
J12548683,TREE_48075,2005-04-28,2005-05-03,COMPLETE,S-CAN,24826652,26460,24,1392,0,57080
J12548698,TREE_48075,2005-07-05,2005-07-06,COMPLETE,S-CAN,24895764,148416,92,352,0,94000
J12548709,TREE_48075,2005-05-29,2005-06-03,COMPLETE,S-CAN,24799926,148416,68,388,0,12228
J12548711,TREE_48075,2005-06-11,2005-06-12,COMPLETE,S-CAN,25033486,24752,132,876,0,11160
J12548713,TREE_48075,2005-03-19,2005-03-20,COMPLETE,S-CAN,24464448,148416,64,804,0,10892
J12548718,TREE_48075,2005-05-07,2005-05-13,COMPLETE,S-CAN,24645912,22616,80,592,0,54080
J12548722,TREE_48075,2005-04-06,2005-04-14,COMPLETE,S-CAN,24643854,35500,12,1404,0,42160
J12548726,TREE_48075,2005-05-26,2005-05-26,COMPLETE,S-CAN,24643938,148716,28,100,0,10908
J12548730,TREE_48075,2005-05-27,2005-05-28,COMPLETE,S-CAN,25031456,16816,124,424,0,15080
J12548731,TREE_48075,2005-07-09,2005-07-09,COMPLETE,S-CAN,25031140,1132,20,548,0,12188
J12548736,TREE_48075,2005-06-19,2005-06-19,COMPLETE,S-CAN,25033900,16816,92,1508,0,15600
J12548737,TREE_48075,2005-06-21,2005-06-22,COMPLETE,S-CAN,25033906,145332,52,1180,0,12244
J12548739,TREE_48075,2005-06-26,2005-07-01,COMPLETE,S-CAN,24820970,35236,124,588,0,94840
J12548742,TREE_48075,2005-06-02,2005-06-09,COMPLETE,S-CAN,24828526,216632,8,1048,0,10932
J12548744,TREE_48075,2005-05-23,2005-05-29,COMPLETE,S-CAN,24894488,35500,140,268,0,29040
J12548745,TREE_48075,2005-06-16,2005-06-17,COMPLETE,S-CAN,24894526,29244,80,184,0,83600
J12548746,TREE_48075,2005-06-11,2005-06-11,COMPLETE,S-CAN,24827130,38020,56,660,0,75040
J12548748,TREE_48075,2005-06-22,2005-06-22,COMPLETE,S-CAN,24895736,1132,108,136,0,59800
J12548749,TREE_48075,2005-04-18,2005-04-18,COMPLETE,S-CAN,24828622,57844,112,1220,0,30760
J12548752,TREE_48075,2005-05-13,2005-05-25,COMPLETE,S-CAN,24828096,144488,136,48,0,69720
J12548755,TREE_48075,2005-06-26,2005-06-27,COMPLETE,S-CAN,24998920,35236,20,320,0,13720
J12548756,TREE_48075,2005-08-04,2005-08-06,COMPLETE,S-CAN,25032796,149700,100,1204,0,15528
J12548758,TREE_48075,2005-06-19,2005-06-19,COMPLETE,S-CAN,24799958,148744,88,668,0,13892
J12548761,TREE_48075,2005-06-19,2005-06-20,COMPLETE,S-CAN,25030102,147068,112,248,0,57840
J12548763,TREE_48075,2005-04-14,2005-04-15,COMPLETE,S-CAN,24642656,14208,132,1376,0,66400
J12548768,TREE_48075,2005-04-15,2005-04-15,COMPLETE,S-CAN,24648256,204792,32,668,0,49080
J12548773,TREE_48075,2005-06-11,2005-06-12,COMPLETE,S-CAN,24645372,204792,36,244,0,13096
J12548775,TREE_48075,2005-04-15,2005-04-15,COMPLETE,S-CAN,24826816,57844,48,752,0,87040
J12548780,TREE_48075,2005-06-02,2005-06-07,COMPLETE,S-CAN,24828522,145312,32,720,0,13752
J12548781,TREE_48075,2005-07-12,2005-07-13,COMPLETE,S-CAN,24891978,145848,36,168,0,79600
J12548785,TREE_48075,2005-06-10,2005-06-16,COMPLETE,S-CAN,24898324,149700,24,1212,0,16520
J12548793,TREE_48075,2005-03-30,2005-04-10,COMPLETE,S-CAN,24674040,204852,72,808,0,11640
J12548800,TREE_48075,2005-06-16,2005-06-23,COMPLETE,S-CAN,24649194,18096,16,1396,0,71240
J12548801,TREE_48075,2005-04-12,2005-04-13,COMPLETE,S-CAN,24647252,4284,60,156,0,58840
J12548804,TREE_48075,2005-04-18,2005-04-23,COMPLETE,S-CAN,24642072,32440,80,924,0,11280
J12548806,TREE_48075,2005-03-31,2005-04-01,COMPLETE,S-CAN,24642428,144488,64,552,0,74480
J12548807,TREE_48075,2005-06-19,2005-06-24,COMPLETE,S-CAN,24644596,9996,68,964,0,81240
J12548810,TREE_48075,2005-05-29,2005-06-06,COMPLETE,S-CAN,24827120,144488,108,20,0,11012
J12548815,TREE_48075,2005-06-27,2005-06-27,COMPLETE,S-CAN,24892146,148388,92,672,0,84120
J12548816,TREE_48075,2005-05-11,2005-05-17,COMPLETE,S-CAN,24827680,23160,16,880,0,35360
J12548817,TREE_48075,2005-04-15,2005-04-15,COMPLETE,S-CAN,24898000,57844,144,780,0,11716
