Head Writer,Director,Lead,Genre,Run Time (Minutes),Movie ID,Ranking,Movie Name,Release Year,Rating,Certificate,Tagline,Budget,Box Office Sales
Irvine Welsh,Danny Boyle,Ewan McGregor,Drama,93,MOV_167,167,Trainspotting,1996,8.1,R,"Choose life. Choose a job. Choose a starter home. Choose dental insurance, leisure wear and matching luggage. Choose your future. But why would anyone want to do a thing like that?",1500000,16767475
Aaron Guzikowski,Denis Villeneuve,Hugh Jackman,Crime,153,MOV_168,168,Prisoners,2013,8.1,R,Every moment matters,46000000,122126687
Gavin O'Connor,Gavin O'Connor,Tom Hardy,Action,140,MOV_169,169,Warrior,2011,8.2,PG-13,Fight for Country,25000000,23308615
Ethan Coen,Joel Coen,William H. Macy,Crime,98,MOV_170,170,Fargo,1996,8.1,R,A homespun murder story.,7000000,60611975
Nick Schenk,Clint Eastwood,Clint Eastwood,Drama,116,MOV_171,171,Gran Torino,2008,8.1,R,ma,33000000,269958228
Hayao Miyazaki,Hayao Miyazaki,Hitoshi Takagi,Animation,86,MOV_172,172,My Neighbor Totoro,1988,8.1,G,imationComedyFamilyFantasy,,
Jeff Nathanson,Steven Spielberg,Leonardo DiCaprio,Biography,141,MOV_173,173,Catch Me If You Can,2002,8.1,PG-13,The true story of a real fake.,,
Paul Haggis,Clint Eastwood,Hilary Swank,Drama,132,MOV_174,174,Million Dollar Baby,2004,8.1,PG-13,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",30000000,216763646
Majid Majidi,Majid Majidi,Mohammad Amir Naji,Drama,89,MOV_175,175,Children of Heaven,1997,8.2,PG,A Little Secret...Their Biggest Adventure!,,
Hampton Fancher,Ridley Scott,Harrison Ford,Action,117,MOV_176,176,Blade Runner,1982,8.1,R,A Futuristic Vision Perfected [2007 Final Cut],28000000,41722424
Charles Chaplin,Charles Chaplin,Charles Chaplin,Adventure,95,MOV_177,177,The Gold Rush,1925,8.1,Passed,"""The Picture I Want to Be Remembered by."" -Charlie Chaplin. (Print Ad- Calgary Daily Herald, ((Calgary, Alta.)) 30 December 1925)",923000,29328
Richard Linklater,Richard Linklater,Ethan Hawke,Drama,101,MOV_178,178,Before Sunrise,1995,8.1,R,Jump on and live a Eurorail journey you will never forget!,2500000,5987386
John Ridley,Steve McQueen,Chiwetel Ejiofor,Biography,134,MOV_179,179,12 Years a Slave,2013,8.1,R,The extraordinary true story of Solomon Northup,20000000,187733202
Sergio Pablos,Sergio Pablos,Jason Schwartzman,Animation,96,MOV_180,180,Klaus,2019,8.2,PG,Discover the friendship that launched a legend.,,
Steve Kloves,David Yates,Daniel Radcliffe,Adventure,130,MOV_181,181,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,PG-13,It All Ends Here,125000000,1342359942
Budd Schulberg,Elia Kazan,Marlon Brando,Crime,108,MOV_182,182,On the Waterfront,1954,8.1,Approved,The Man Lived by the Jungle Law of the Docks!,910000,
Lew Wallace,William Wyler,Charlton Heston,Adventure,212,MOV_183,183,Ben-Hur,1959,8.1,G,A Tale of the Christ,15000000,74437720
Gillian Flynn,David Fincher,Ben Affleck,Drama,149,MOV_184,184,Gone Girl,2014,8.1,R,You don't know what you've got 'til it's...,,
Stefan Zweig,Wes Anderson,Ralph Fiennes,Adventure,99,MOV_185,185,The Grand Budapest Hotel,2014,8.1,R,ventureComedyCrime,25000000,173082189
Ingmar Bergman,Ingmar Bergman,Victor Sjöström,Drama,91,MOV_186,186,Wild Strawberries,1957,8.1,Not Rated,"""We are such stuff as dreams are made on, and our little life is rounded with a sleep."" Shakespeare - The Tempest",,60418
Buster Keaton,Clyde Bruckman,Buster Keaton,Action,67,MOV_187,187,The General,1926,8.1,Passed,"Buster drives ""The General"" to trainload of laughter. (Trade paper ad).",750000,
Graham Greene,Carol Reed,Orson Welles,Film-Noir,93,MOV_188,188,The Third Man,1949,8.1,Approved,Carol Reed's Classic Thriller,,1226507
Gerry Conlon,Jim Sheridan,Daniel Day-Lewis,Biography,133,MOV_189,189,In the Name of the Father,1993,8.1,R,Falsely accused.  Wrongly imprisoned.  He fought for justice to clear his father's name.,,
Michael Cimino,Michael Cimino,Robert De Niro,Drama,183,MOV_190,190,The Deer Hunter,1978,8.1,R,One of the most important and powerful films of all time!,15000000,49074379
Stanley Kubrick,Stanley Kubrick,Ryan O'Neal,Adventure,185,MOV_191,191,Barry Lyndon,1975,8.1,PG,At long last Redmond Barry became a gentleman -- and that was his tragedy.,11000000,199632
Robert Schenkkan,Mel Gibson,Andrew Garfield,Biography,139,MOV_192,192,Hacksaw Ridge,2016,8.1,R,Based on the incredible true story.,40000000,180563636
Georges Arnaud,Henri-Georges Clouzot,Yves Montand,Adventure,131,MOV_193,193,The Wages of Fear,1953,8.2,Not Rated,The complete restored version of the 1953 French classic [reissue],,1098
Bong Joon Ho,Bong Joon Ho,Song Kang-ho,Crime,132,MOV_194,194,Memories of Murder,2003,8.1,Not Rated,"1986 in a small town...for two detectives, everything was new.",2800000,1166717
Jean C. Havez,Buster Keaton,Buster Keaton,Action,45,MOV_195,195,Sherlock Jr.,1924,8.2,Passed,every inch of footage holds such a laugh!,,
Germán Servidio,Damián Szifron,Darío Grandinetti,Comedy,122,MOV_196,196,Wild Tales,2014,8.1,R,We can all lose control,,
Sidney Buchman,Frank Capra,James Stewart,Comedy,129,MOV_197,197,Mr. Smith Goes to Washington,1939,8.1,Passed,"OUR OPERATOR SAYS..""IT'S GOING TO BE A PLEASURE TO RUN ""MR. SMITH GOES TO WASHINGTON"" 5 DAYS STARTING SUNDAY, NOV.7) (print ad - Lubbock Morning Avalanche - Cactus Theatre - Lubbock Texas - November 2, 1938 - all caps)",1900000,144738
George Miller,George Miller,Tom Hardy,Action,,MOV_198,198,Mad Max: Fury Road,2015,8.1,R,WHAT A LOVELY DAY (all caps One Sheet),150000000,415261382
Ingmar Bergman,Ingmar Bergman,Max von Sydow,Drama,96,MOV_199,199,The Seventh Seal,1957,8.1,Not Rated,"A film of visual scope, of imaginative concept, of powerful content, written and directed by Ingmar Bergman, twice honored by the Interational Jury at the Cannes Film Festival 1956,1957",150000,311212
Adam Elliot,Adam Elliot,Toni Collette,Animation,92,MOV_200,200,Mary and Max,2009,8.1,Not Rated,Two unlikely people. Two different worlds come together in a story about a most unusual friendship.,8240000,1740429
Will Davies,Dean DeBlois,Jay Baruchel,Animation,98,MOV_201,201,How to Train Your Dragon,2010,8.1,PG,One adventure will change two worlds,165000000,494879471
Emma Donoghue,Lenny Abrahamson,Brie Larson,Drama,118,MOV_202,202,Room,2015,8.1,R,Love knows no boundaries,13000000,35401758
Pete Docter,Pete Docter,Billy Crystal,Animation,92,MOV_203,203,"Monsters, Inc.",2001,8.1,G,"Monsters, Inc. : We Scare Because We Care",115000000,579707738
Peter Benchley,Steven Spielberg,Roy Scheider,Adventure,124,MOV_204,204,Jaws,1975,8.1,PG,Amity Island had everything. Clear skies. Gentle surf. Warm water. People flocked there every summer. It was the perfect feeding ground.,7000000,476512065
Tom Schulman,Peter Weir,Robin Williams,Comedy,128,MOV_205,205,Dead Poets Society,1989,8.1,PG,He was their inspiration. He made their lives extraordinary.,16400000,235860116
Ethan Coen,Joel Coen,Jeff Bridges,Comedy,117,MOV_206,206,The Big Lebowski,1998,8.1,R,Hay quienes tratan de ganarse la vida sin mover un dedo... otros tienen que cortarlos. (Mexico),15000000,46969409
Kôgo Noda,Yasujirô Ozu,Chishû Ryû,Drama,136,MOV_207,207,Tokyo Story,1953,8.2,Not Rated,"As long as life goes on, relationships between parents and children will bring boundless joy and endless grief.",,
Joseph Delteil,Carl Theodor Dreyer,Maria Falconetti,Biography,114,MOV_208,208,The Passion of Joan of Arc,1928,8.2,Passed,JOAN of ARC PICTURES Inc. presents,,
Keir Pearson,Terry George,Don Cheadle,Biography,121,MOV_209,209,Hotel Rwanda,2004,8.1,PG-13,"When a country descended into madness and the world turned its back, one man had to make a choice",17500000,33882243
Jez Butterworth,James Mangold,Matt Damon,Action,152,MOV_210,210,Ford v Ferrari,2019,8.1,PG-13,They took the American dream for a ride.,97600000,225508210
Sylvester Stallone,John G. Avildsen,Sylvester Stallone,Drama,,MOV_211,211,Rocky,1976,8.1,PG,You have a ringside seat for the bloodiest bicentennial in history!,960000,117250402
Oliver Stone,Oliver Stone,Charlie Sheen,Drama,,MOV_212,212,Platoon,1986,8.1,R,The first casualty of war is innocence.,6000000,138545632
Brad Bird,Brad Bird,Brad Garrett,Animation,111,MOV_213,213,Ratatouille,2007,8.1,G,Dinner is served... Summer 2007,150000000,623726085
Josh Singer,Tom McCarthy,Mark Ruffalo,Biography,129,MOV_214,214,Spotlight,2015,8.1,R,Break the story. Break the silence.,20000000,98690254
James Cameron,James Cameron,Arnold Schwarzenegger,Action,107,MOV_215,215,The Terminator,1984,8.1,R,"La sua missione e una sola: distruggere, uccidere... (His one and only mission: to destroy, to kill...) (Italian DVD)",6400000,78371200
James Mangold,James Mangold,Hugh Jackman,Action,137,MOV_216,216,Logan,2017,8.1,R,His time has come,97000000,619179950
Stephen King,Rob Reiner,Wil Wheaton,Adventure,89,MOV_217,217,Stand by Me,1986,8.1,13+,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",8000000,52287414
Peter Morgan,Ron Howard,Daniel Brühl,Action,123,MOV_218,218,Rush,2013,8.1,R,Everyone's driven by something.,38000000,96983009
Paddy Chayefsky,Sidney Lumet,Faye Dunaway,Drama,121,MOV_219,219,Network,1976,8.1,R,"""NETWORK""... the humanoids, the love story, the trials and tribulations, the savior of television, the attempted suicides, the assassination -- it's ALL coming along with a galaxy of stars you know and love!",3800000,23690757
Sean Penn,Sean Penn,Emile Hirsch,Adventure,148,MOV_220,220,Into the Wild,2007,8.1,R,Into the heart Into the soul,15000000,56675895
Richard Linklater,Richard Linklater,Ethan Hawke,Drama,80,MOV_221,221,Before Sunset,2004,8.1,R,What if you had a second chance with the one that got away?,,
Noel Langley,Victor Fleming,Judy Garland,Adventure,102,MOV_222,222,The Wizard of Oz,1939,8.1,G,Mighty Miracle Show Of 1000 Delights !,2777000,25637669
Bibhutibhushan Bandyopadhyay,Satyajit Ray,Kanu Bannerjee,Drama,125,MOV_223,223,Pather Panchali,1955,8.3,Not Rated,The Saga of an Indian Family,,135342
Danny Rubin,Harold Ramis,Bill Murray,Comedy,101,MOV_224,224,Groundhog Day,1993,8.1,PG,What would you do if you were stuck in the same day... over and over? Anything you want and everything your heart desires.,14600000,71108591
Robert E. Sherwood,William Wyler,Myrna Loy,Drama,170,MOV_225,225,The Best Years of Our Lives,1946,8.1,Approved,THE SCREEN'S GREATEST LOVE STORY IS THE BEST FILM THIS YEAR FROM HOLLYWOOD!,2100000,23661347
William Peter Blatty,William Friedkin,Ellen Burstyn,Horror,122,MOV_226,226,The Exorcist,1973,8.1,R,The movie you've been waiting for...without the wait.,11000000,441306145
Brad Bird,Brad Bird,Craig T. Nelson,Animation,115,MOV_227,227,The Incredibles,2004,8,PG,Save The Day,92000000,631607053
Melchior Lengyel,Ernst Lubitsch,Carole Lombard,Comedy,99,MOV_228,228,To Be or Not to Be,1942,8.2,Passed,The Picture Everyone Wants To See.,,
Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel,Crime,98,MOV_229,229,La haine,1995,8.1,Not Rated,"So far, so good",,
Franco Solinas,Gillo Pontecorvo,Brahim Hadjadj,Drama,121,MOV_230,230,The Battle of Algiers,1966,8.1,Not Rated,The French Colonel...who was forced even to torture! One of the many women...who stopped at nothing to win! The Algerian Street Boy...who became a rebel hero!,800000,962002
Ted Elliott,Gore Verbinski,Johnny Depp,Action,143,MOV_231,231,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,PG-13,Prepare to be blown out of the water.,140000000,654264015
Stephen P. Lindsey,Lasse Hallström,Richard Gere,Biography,93,MOV_232,232,Hachi: A Dog's Tale,2009,8.1,G,"A true story of faith, devotion and undying love.",,
Nunnally Johnson,John Ford,Henry Fonda,Drama,129,MOV_233,233,The Grapes of Wrath,1940,8.1,Passed,The thousands who have read the book will know why WE WILL NOT SELL ANY CHILDREN TICKETS to see this picture!,800000,
T.J. Gnanavel,T.J. Gnanavel,Suriya,Crime,164,MOV_234,234,Jai Bhim,2021,8.8,TV-MA,imeDramaMystery,,
Çagan Irmak,Çagan Irmak,Çetin Tekindor,Drama,112,MOV_235,235,My Father and My Son,2005,8.2,Not Rated,"Give him a room dad, he has no place to go...",,
Guillermo Arriaga,Alejandro G. Iñárritu,Emilio Echevarría,Drama,154,MOV_236,236,Amores Perros,2000,8.1,R,Love. Betrayal. Death.,2000000,20908467
Daphne Du Maurier,Alfred Hitchcock,Laurence Olivier,Drama,130,MOV_237,237,Rebecca,1940,8.1,Approved,"THE MIGHTY NOVEL LEAPS TO TURBULENT LIFE ON THE SCREEN! (Print Ad- Syracuse Herald-American, ((Syracuse, NY)) 24 March 1940)",1288000,72275
Donn Pearce,Stuart Rosenberg,Paul Newman,Crime,127,MOV_238,238,Cool Hand Luke,1967,8.1,GP,"""What we've got here is failure to communicate.""",3200000,67
Sarah Waters,Park Chan-wook,Kim Min-hee,Drama,145,MOV_239,239,The Handmaiden,2016,8.1,Not Rated,Never did they expect to get into a controversial relationship...,,
François Truffaut,François Truffaut,Jean-Pierre Léaud,Crime,99,MOV_240,240,The 400 Blows,1959,8.1,Not Rated,From the Vanguard of New Film-Makers Comes an Extraordinary Motion Picture,,127244
Georg Hurdalek,Robert Wise,Julie Andrews,Biography,172,MOV_241,241,The Sound of Music,1965,8.1,G,RADIANCE THAT FLOODS THE SCREEN...AND WARMS THE HEART!,8200000,159428329
Robert Riskin,Frank Capra,Clark Gable,Comedy,105,MOV_242,242,It Happened One Night,1934,8.1,Passed,Two great lovers of the screen in the grandest of romantic comedies !,325000,11477
Ingmar Bergman,Ingmar Bergman,Bibi Andersson,Drama,83,MOV_243,243,Persona,1966,8.1,Not Rated,A new film by Ingmar Bergman,,
Graham Chapman,Terry Jones,Graham Chapman,Comedy,94,MOV_244,244,Life of Brian,1979,8,R,A motion picture destined to offend nearly two thirds of the civilized world. And severely annoy the other third.,4000000,20745728
Tim McCanlies,Brad Bird,Eli Marienthal,Animation,86,MOV_245,245,The Iron Giant,1999,8.1,PG,Some secrets are too huge to hide,70000000,23335817
Tate Taylor,Tate Taylor,Viola Davis,Drama,146,MOV_246,246,The Help,2011,8.1,PG-13,Change begins with a whisper.,25000000,216639112
Akira Kurosawa,Akira Kurosawa,Maksim Munzuk,Adventure,142,MOV_247,247,Dersu Uzala,1975,8.2,G,There is man and beast at nature's mercy. There is awe and love and reverence. And there is the man called...,4000000,14480
Ron Clements,Ron Clements,Scott Weinger,Animation,90,MOV_248,248,Aladdin,1992,8,G,Wish granted! (DVD re-release),,
John Briley,Richard Attenborough,Ben Kingsley,Biography,191,MOV_249,249,Gandhi,1982,8,PG,His Triumph Changed The World Forever.,22000000,52767889
Michael Blake,Kevin Costner,Kevin Costner,Adventure,181,MOV_250,250,Dances with Wolves,1990,8,PG-13,Inside everyone is a frontier waiting to be discovered.,22000000,424208848
